title,creation_date,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Andy Warhol,1972,three gelatin silver prints,2002.33.5.A-.C,cmoa:things/1e9185a8-8ed4-4143-99f0-152a63b6f1dc,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,6.875,4.875,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=312,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=7963&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=7964&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=7965&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Andy Warhol,1958,gelatin silver print,2002.33.1,cmoa:things/116efc04-5a56-46fc-9c2b-add3cf09ee59,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,19.875,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=316,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=127460&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Balthus and Setsuko,2000,gelatin silver print,2002.33.6,cmoa:things/b5e7da09-bccf-458a-b238-8b0e144eb239,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,13.875,11.0,1.375,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=317,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=8501&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
A Gursky Gherkin is Just a Very Large Pickle,2001,chromogenic print with hand applied text,2002.33.7,cmoa:things/c326da61-1a32-4e47-8abb-268ef45dde84,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,72.0,48.0,1.875,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=318,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=94520&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
From the Dead Saint's Shit Series: St. Francis of Assisi's Feces with burning cross....,2001,chromogenic print with hand applied text,2002.33.8,cmoa:things/6340bb7b-c259-48d9-bc0b-a00fc0525640,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,29.625,37.625,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=319,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=94519&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Duane's Super Shiner: Self Portrait in the Manner of Nan Goldin,2001,chromogenic prints with hand-applied text,2002.33.9.A-.B,cmoa:things/db1da765-dc84-452e-8535-ab709eb8d9b7,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,24.5,17.688,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=320,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=7975&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=7976&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
I Like Pussy,2001,toned gelatin silver print with hand applied text,2002.33.11,cmoa:things/6151dc35-35bf-4836-ab0b-0f5b837273dd,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,19.875,15.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=323,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=11907&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
An Unfortunate Tryst with Pipilotti Rist,2001,seven chromogenic prints with hand-applied text,2002.33.12.A-.G,cmoa:things/b1eb24fa-c3bb-4a7c-8604-d0812df5550a,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,10.0,8.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=324,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=11898&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11899&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11900&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11901&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11902&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11903&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11904&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
A Duane Michals Photograph of a Sherrie Levine Photograph of a Walker Evans Photograph,2001,gelatin silver print with hand applied text,2002.33.10,cmoa:things/f6133588-8981-4a36-a154-9e7f9379a56c,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,14.313,17.312,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=332,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=11891&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Dr. Duanus's Infernal Tongue-in-Cheeky Journal,2001,chromogenic print,2002.33.13.A-.B,cmoa:things/c3574131-6ce5-414f-a13f-100056edb848,The Henry L. Hillman Fund,2002-10-03,Photography,Not on View,47.875,72.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=333,"Pace/MacGill Gallery, New York",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=94517&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=94518&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Uptown Pittsburgh,c. 1923-1924,bromide print,2002.45,cmoa:things/d4348353-5dd6-4687-997e-a6aee36c9c38,Second Century Acquisition Fund,2002-10-03,Photography,Not on View,10.188,12.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=359,"Concept Art Gallery, Pittsburgh",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=8483&size=Medium,cmoa:parties/1ffd2be4-8010-4325-b1f7-03350b6944f1,Person,Charles K. Archer,"Archer, Charles K.",photographer,American,1885-01-01,1969-01-01,,
Installation of the 1958 Carnegie International,1958,gelatin silver print,2002.53.1.1-3,cmoa:things/ee0b340c-3f33-4f77-9879-e23ec23dae8f,Gift of the artist,2002-10-03,Photography,Not on View,0.0,0.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=433,"Clyde Hare, Allison Park, PA",photographs,,cmoa:parties/93ddc4ce-721e-410a-912f-1362637135ca,Person,Clyde Hare,"Hare, Clyde",,American,1927-01-01,2009-01-01,"Bloomington, Indiana","Pittsburgh, PA"
Harry Swank and John Walters,c. 1925,gelatin silver print,2002.54.1,cmoa:things/a8249234-6a3a-4d49-b537-c3fab453d500,Gift from John and Barbara Walters,2002-10-03,Photography,Not on View,9.25,11.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=437,"John and Barbara Walters, Pittsburgh, PA",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=101442&size=Medium,cmoa:parties/9c730db3-7ca6-4e1d-ae3c-2968c1ad8ab9,Person,Luke Swank,"Swank, Luke",,American,1890-01-01,1944-01-01,"Johnstown, PA",
Harry Swank and John Walters,c. 1925,gelatin silver print,2002.54.2,cmoa:things/8be052ea-f7fb-4065-a842-743ec15c97d7,Gift from John and Barbara Walters,2002-10-03,Photography,Not on View,4.5,3.5,0.875,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=438,"John and Barbara Walters, Pittsburgh, PA",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=101444&size=Medium,cmoa:parties/9c730db3-7ca6-4e1d-ae3c-2968c1ad8ab9,Person,Luke Swank,"Swank, Luke",,American,1890-01-01,1944-01-01,"Johnstown, PA",
Harry Swank and John Walters,c. 1925,gelatin silver print,2002.54.3,cmoa:things/39428149-5999-48a3-af6e-91f7e8b56b46,Gift from John and Barbara Walters,2002-10-03,Photography,Not on View,8.0,9.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=465,"John and Barbara Walters, Pittsburgh, PA",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=101446&size=Medium,cmoa:parties/9c730db3-7ca6-4e1d-ae3c-2968c1ad8ab9,Person,Luke Swank,"Swank, Luke",,American,1890-01-01,1944-01-01,"Johnstown, PA",
"Installation of Abstract Painting and Sculpture in America, at Carnegie Museum",1983,gelatin silver print,2002.53.2,cmoa:things/dd514553-cd45-416b-bac5-51e7c07a3613,Gift of the artist,2002-10-03,Photography,Not on View,7.5,5.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=472,"Clyde Hare, Allison Park, PA",photographs,,cmoa:parties/93ddc4ce-721e-410a-912f-1362637135ca,Person,Clyde Hare,"Hare, Clyde",,American,1927-01-01,2009-01-01,"Bloomington, Indiana","Pittsburgh, PA"
Photograph of installation of hand-blown and mirrored glass vessels,2002,gelatin silver print,2003.18,cmoa:things/25abc7af-3a15-4f81-a7e9-9f45d7e29dda,Gift of Marcia and Stanley R. Gumberg,2003-04-04,Photography,Not on View,11.0,13.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=3007,"Marcia and Stanley Gumberg, Pittsburgh, PA",photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=112918&size=Medium,cmoa:parties/57407223-85c0-4ce8-835d-3e97970832e4,Person,Martin Prekop,"Prekop, Martin",,American,1940-01-01,,"Toledo, OH",
The House I Once Called Home,2002,thirty gelatin silver prints with hand-applied text,2003.20.1.A-.DD,cmoa:things/ae07fee5-2fee-4221-9c4e-6e02ac162636,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,11.0,14.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4155,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=11940&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11941&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11942&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11943&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11944&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11945&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=7985&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11947&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11948&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11949&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11950&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11909&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11910&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11911&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11912&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11913&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11914&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12224&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11916&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11917&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11918&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11919&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11920&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11921&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11922&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11923&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11925&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11926&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11927&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=11924&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Christ in New York,1981,six gelatin silver prints with hand-applied text,2003.20.2.A-.F,cmoa:things/9b488548-382d-45d8-92d3-cd336904a6b2,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,10.0,8.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4185,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=12345&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12346&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12347&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12348&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12343&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12350&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Alice's Mirror,1974,seven gelatin silver prints with hand-applied text,2003.20.3.A-.G,cmoa:things/ded7869e-e7b5-47ef-82f4-0f38c7c03d88,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,6.875,4.875,1.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4213,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=12358&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12352&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12353&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12354&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12355&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12356&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12357&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
A Man Going to Heaven,1967,five gelatin silver prints with hand-applied text,2003.20.4.A-.E,cmoa:things/8ae7543c-fcfc-47d6-879c-fe54e3a8caa4,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,6.875,4.875,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4226,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=12330&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12331&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12332&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=12333&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=167&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Three Views of Truffaut,1981,gelatin silver print with hand-applied text,2003.20.5,cmoa:things/74a66111-3f30-4406-b039-07de296230ba,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,17.375,14.313,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4232,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=7988&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Ludmilla Tchérina,1964,gelatin silver print,2003.20.6,cmoa:things/7bb9a208-13fc-47b9-b233-2aa30dc16d77,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,17.25,14.25,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4233,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=7989&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Willem de Kooning,1985,gelatin silver print,2003.20.7,cmoa:things/119a2b22-8320-4610-9390-0fd9c8d91a69,The Henry L. Hillman Fund,2003-06-05,Photography,Not on View,14.0,11.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4234,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=7990&size=Medium,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",
Self Portrait,c. 1938,gelatin silver print,2003.29.1,cmoa:things/390e34fd-7ad7-407d-8a87-6289d78a5087,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,3.5,5.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4397,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38719&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
Self Portrait,c. 1938,platinum print,2003.29.2,cmoa:things/e22d2576-d26c-4bd4-b5b7-53fb6d3b2481,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,2.875,4.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4398,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38722&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
Portrait of Anna Burns Munhall,c. 1938,platinum print,2003.29.3,cmoa:things/aa9b1daf-7552-4404-a5b4-f7323ee6d2af,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,3.25,4.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4399,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38721&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
"Anna Burns Munhall and dog, Virginia Beach",1939,platinum print,2003.29.4,cmoa:things/fe7c8966-0c2a-4d4e-ab19-835abe6a6696,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,4.625,3.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4400,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38720&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
"Self portrait with sons Edgar, left and Walter Jr., right",c. 1938-1941,platinum print,2003.29.5,cmoa:things/f94269de-bb1f-4a6f-904f-60a9ecea9887,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,5.0,7.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4401,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38725&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
"Mrs. Munhall with sons Edgar, left, and Walter Jr., right",c. 1938-1941,platinum print,2003.29.6,cmoa:things/0c647f53-02da-424a-a428-0740e5044535,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,5.0,7.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4402,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38724&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
Mrs. Munhall and sons in a field,c. 1938-1941,gelatin silver print,2003.29.7,cmoa:things/4edfabb1-e001-42f8-a879-4d06ca2b334e,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,4.5,3.375,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4403,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38723&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
Walter Munhall Jr. holding camera,"May 31, 1938",platinum print,2003.29.8,cmoa:things/f7c78dbb-525d-4f45-8dae-67ac17f7917d,Gift of Edgar Munhall,2003-06-05,Photography,Not on View,3.25,4.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=4404,,photographs,http://collection.cmoa.org/CollectionImage.aspx?irn=38715&size=Medium,cmoa:parties/38ebec90-cb10-4501-81bd-bb90f9c7866f,Person,Walter Munhall,"Munhall, Walter",,American,1901-01-01,1993-01-01,,
